prevDayMaxStressLevel,maxHeartRate,duration,avgSpeed
87.0,167.0,1486864.013671875,0.32939999103546147
95.0,176.0,2942409.912109375,0.3283999919891358
96.0,172.0,2946854.00390625,0.32939999103546147
91.0,173.0,4371687.98828125,0.33499999046325685
86.0,169.0,2976802.001953125,0.3273999929428101
93.0,165.0,1505613.037109375,0.325600004196167
88.0,169.0,2921501.953125,0.33469998836517334
90.0,166.0,1510233.0322265625,0.32309999465942385
92.0,158.0,2972105.95703125,0.32679998874664307
89.0,178.0,3008787.109375,0.3244999885559082
90.0,166.0,4077861.083984375,0.32809998989105227
91.0,158.0,3004906.982421875,0.3269999980926514
98.0,165.0,3016241.943359375,0.3260999917984009
96.0,170.0,3488959.9609375,0.3288000106811524
82.0,149.0,1555962.0361328125,0.3221999883651734
93.0,173.0,3482181.884765625,0.3288000106811524
89.0,152.0,1604885.009765625,0.3128000020980835
96.0,175.0,5143576.171875,0.31689999103546146
92.0,155.0,1547150.0244140625,0.3243000030517578
96.0,169.0,3531837.890625,0.32409999370574955
93.0,172.0,3551875.9765625,0.32379999160766604
91.0,173.0,1558047.9736328125,0.32439999580383305
88.0,165.0,3619209.9609375,0.3177999973297119
87.0,165.0,1599969.970703125,0.3141000032424927
88.0,179.0,6751945.80078125,0.31089999675750735
81.0,165.0,1921364.990234375,0.3296999931335449
89.0,162.0,3563672.119140625,0.32320001125335696
84.0,103.0,1443192.9931640625,0.32390000820159914
78.0,163.0,3592125.0,0.3203999996185303
83.0,169.0,1560193.9697265625,0.32460000514984133
90.0,170.0,1560589.9658203125,0.3214999914169312
86.0,180.0,4740333.984375,0.3088000059127808
93.0,163.0,1556947.998046875,0.32269999980926517
92.0,172.0,3421555.908203125,0.32920000553131107
96.0,177.0,2936412.109375,0.3313999891281128
94.0,179.0,2937154.052734375,0.3325000047683716
91.0,178.0,2917105.95703125,0.3332000017166138
93.0,177.0,1475812.98828125,0.34049999713897705
91.0,165.0,3045406.005859375,0.32320001125335696
95.0,159.0,2990437.98828125,0.3286999940872193
84.0,159.0,3010346.923828125,0.3276999950408936
81.0,161.0,1586348.9990234375,0.31689999103546146
95.0,182.0,4589136.23046875,0.32109999656677246
96.0,168.0,1564281.982421875,0.3211999893188477
92.0,174.0,2970216.064453125,0.3296999931335449
73.0,175.0,3016871.09375,0.32420001029968265
88.0,159.0,1565051.025390625,0.32409999370574955
94.0,174.0,3009916.9921875,0.32690000534057617
93.0,156.0,1642421.9970703125,0.30920000076293946
93.0,176.0,4798464.84375,0.30350000858306886
87.0,185.0,2377083.0078125,0.3634999990463257
90.0,170.0,2966554.931640625,0.32999999523162843
94.0,173.0,3040009.033203125,0.3230000019073487
94.0,172.0,3004104.00390625,0.3275000095367432
98.0,176.0,3043975.09765625,0.32409999370574955
98.0,154.0,1587984.9853515625,0.31730000972747807
96.0,185.0,790448.974609375,0.2930999994277954
96.0,185.0,3719552.978515625,0.32320001125335696
96.0,174.0,3015237.060546875,0.3253999948501587
89.0,162.0,1481839.9658203125,0.3427000045776367
98.0,161.0,2940816.89453125,0.33510000705718995
