sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds
2021-10-05T03:27:00.0,2021-10-05T16:56:00.0,2021-10-05,OFF_WRIST,0,0,0,0,false,
2021-10-06T03:02:00.0,2021-10-06T14:30:00.0,2021-10-06,OFF_WRIST,0,0,0,0,false,
2021-10-07T03:02:00.0,2021-10-07T14:36:00.0,2021-10-07,OFF_WRIST,0,0,0,0,false,
2021-10-08T03:22:00.0,2021-10-08T15:16:00.0,2021-10-08,OFF_WRIST,0,0,0,0,false,
2021-10-09T03:04:00.0,2021-10-09T14:01:00.0,2021-10-09,OFF_WRIST,0,0,0,0,false,
2021-10-10T03:32:00.0,2021-10-10T16:56:00.0,2021-10-10,OFF_WRIST,0,0,0,0,false,
2021-10-11T03:32:00.0,2021-10-11T16:56:00.0,2021-10-11,OFF_WRIST,0,0,0,0,false,
2021-10-12T03:32:00.0,2021-10-12T16:56:00.0,2021-10-12,OFF_WRIST,0,0,0,0,false,
2021-10-13T03:32:00.0,2021-10-13T16:56:00.0,2021-10-13,OFF_WRIST,0,0,0,0,false,
2021-10-14T03:01:00.0,2021-10-14T13:39:00.0,2021-10-14,OFF_WRIST,0,0,0,0,false,
2021-10-15T03:32:00.0,2021-10-15T16:56:00.0,2021-10-15,OFF_WRIST,0,0,0,0,false,
2021-10-16T03:32:00.0,2021-10-16T16:56:00.0,2021-10-16,OFF_WRIST,0,0,0,0,false,
2021-10-17T03:32:00.0,2021-10-17T16:56:00.0,2021-10-17,OFF_WRIST,0,0,0,0,false,
2021-10-18T03:32:00.0,2021-10-18T16:56:00.0,2021-10-18,OFF_WRIST,0,0,0,0,false,
2021-10-19T03:02:00.0,2021-10-19T14:41:00.0,2021-10-19,OFF_WRIST,0,0,0,0,false,
2021-10-20T03:32:00.0,2021-10-20T16:56:00.0,2021-10-20,OFF_WRIST,0,0,0,0,false,
2021-10-21T03:02:00.0,2021-10-21T14:15:00.0,2021-10-21,OFF_WRIST,0,0,0,0,false,
2021-10-22T03:32:00.0,2021-10-22T16:56:00.0,2021-10-22,OFF_WRIST,0,0,0,0,false,
2021-10-23T03:07:00.0,2021-10-23T14:33:00.0,2021-10-23,OFF_WRIST,0,0,0,0,false,
2021-10-24T04:30:00.0,2021-10-24T13:30:00.0,2021-10-24,UNCONFIRMED,,,,,false,
2021-10-25T03:32:00.0,2021-10-25T16:56:00.0,2021-10-25,OFF_WRIST,0,0,0,0,false,
2021-10-26T03:01:00.0,2021-10-26T14:07:00.0,2021-10-26,OFF_WRIST,0,0,0,0,false,
2021-10-27T03:32:00.0,2021-10-27T16:56:00.0,2021-10-27,OFF_WRIST,0,0,0,0,false,
2021-10-28T03:01:00.0,2021-10-28T14:13:00.0,2021-10-28,OFF_WRIST,0,0,0,0,false,
2021-10-29T03:27:00.0,2021-10-29T14:01:00.0,2021-10-29,OFF_WRIST,0,0,0,0,false,
2021-10-30T03:17:00.0,2021-10-30T15:46:00.0,2021-10-30,OFF_WRIST,0,0,0,0,false,
2021-10-31T03:32:00.0,2021-10-31T16:56:00.0,2021-10-31,OFF_WRIST,0,0,0,0,false,
2021-11-01T03:32:00.0,2021-11-01T16:56:00.0,2021-11-01,OFF_WRIST,0,0,0,0,false,
2021-11-02T03:32:00.0,2021-11-02T16:56:00.0,2021-11-02,OFF_WRIST,0,0,0,0,false,
2021-11-03T03:32:00.0,2021-11-03T16:56:00.0,2021-11-03,OFF_WRIST,0,0,0,0,false,
2021-11-04T03:32:00.0,2021-11-04T16:56:00.0,2021-11-04,OFF_WRIST,0,0,0,0,false,
2021-11-05T03:32:00.0,2021-11-05T16:56:00.0,2021-11-05,OFF_WRIST,0,0,0,0,false,
2021-11-06T03:32:00.0,2021-11-06T16:56:00.0,2021-11-06,OFF_WRIST,0,0,0,0,false,
2021-11-07T04:32:00.0,2021-11-07T17:56:00.0,2021-11-07,OFF_WRIST,0,0,0,0,false,
2021-11-08T04:07:00.0,2021-11-08T15:21:00.0,2021-11-08,OFF_WRIST,0,0,0,0,false,
