sleepEndTimestampGMT,retro,awakeSleepSeconds,deepSleepSeconds,sleepStartTimestampGMT,lightSleepSeconds,calendarDate,sleepWindowConfirmationType,unmeasurableSeconds
2021-12-19T16:20:00.0,false,360.0,0.0,2021-12-19T05:32:00.0,20280.0,2021-12-19,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-20T15:49:00.0,false,180.0,0.0,2021-12-20T05:48:00.0,19620.0,2021-12-20,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-21T15:47:00.0,false,60.0,240.0,2021-12-21T05:43:00.0,20460.0,2021-12-21,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-22T16:04:00.0,false,720.0,1980.0,2021-12-22T05:01:00.0,24600.0,2021-12-22,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-23T15:56:00.0,false,60.0,1500.0,2021-12-23T06:21:00.0,20340.0,2021-12-23,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-24T15:44:00.0,false,60.0,0.0,2021-12-24T05:18:00.0,20340.0,2021-12-24,ENHANCED_CONFIRMED,1740.0
2021-12-28T15:50:00.0,false,300.0,0.0,2021-12-28T05:14:00.0,20100.0,2021-12-28,ENHANCED_CONFIRMED,1500.0
2021-12-30T14:31:00.0,false,60.0,0.0,2021-12-30T05:47:00.0,15720.0,2021-12-30,ENHANCED_CONFIRMED,0.0
2022-01-04T13:38:00.0,false,240.0,1620.0,2022-01-04T04:42:00.0,17820.0,2022-01-04,ENHANCED_CONFIRMED,0.0
2022-01-08T16:20:00.0,false,60.0,0.0,2022-01-08T04:23:00.0,23640.0,2022-01-08,ENHANCED_CONFIRMED_FINAL,0.0
2022-01-12T13:34:00.0,false,60.0,0.0,2022-01-12T04:39:00.0,15060.0,2022-01-12,ENHANCED_CONFIRMED_FINAL,0.0
2022-01-14T13:31:00.0,false,0.0,0.0,2022-01-14T04:41:00.0,17100.0,2022-01-14,ENHANCED_CONFIRMED_FINAL,0.0
